group,n_folds,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
100_400,5,0.8200759063300362,0.012416958368178408,0.8781659574862765,0.009409959718305508,0.8936551557428132,0.011854819475200156
400_800,5,0.8733496164295149,0.010390093488971502,0.9166731590876604,0.007244421466039827,0.9305067872394248,0.011452504871275837
800_1200,5,0.8990096720386088,0.00837914656416185,0.9342735479749346,0.005426352547869377,0.9450930930155235,0.010910942881518797
1200_1800,5,0.9137845981575786,0.007981718451919665,0.9443509296358995,0.005137646169990262,0.9514334255564894,0.011572568033225858
