group,n,n_errors,error_rate,err_ci_low,err_ci_high,tn,fp,fn,tp,fpr,fnr,precision,recall,f1,accuracy,roc_auc,suppressed
100_400,1391748,250333,0.1798694878670564,0.1792322728093289,0.1805084701481393,238129,52951,197382,903286,0.18191218908891027,0.17932928003721377,0.9446256524271702,0.8206707199627863,0.8782962752290456,0.8201305121329436,0.8868019957211296,False
1200_1800,295322,25465,0.08622791393800665,0.08522090949307999,0.08724568268599535,53796,7634,17831,216061,0.12427152856910305,0.07623604056573119,0.9658731755291804,0.9237639594342688,0.9443493805549545,0.9137720860619933,0.943905544960751,False
400_800,578560,73288,0.12667311946902654,0.12581855069226464,0.12753264576209158,101983,18779,54509,403289,0.15550421490203872,0.1190677984613301,0.9555071694608451,0.8809322015386699,0.9167054983372468,0.8733268805309734,0.9227212828966949,False
800_1200,389078,39298,0.10100288374053532,0.10005998133296004,0.10195366485551022,70475,10627,28671,279305,0.13103252694138245,0.09309491648699898,0.9633465778182471,0.906905083513001,0.9342741692701887,0.8989971162594647,0.9322777939543297,False
ALL,2654708,388384,0.14630008272096215,0.14587547152120883,0.14672571755246783,464383,89991,298393,1801941,0.16232904140526072,0.1420693089765723,0.9524343369634849,0.8579306910234277,0.9027159011949605,0.8536999172790378,0.9083247031314281,False
