group,true_label,true_class,n,n_errors,error_rate,err_ci_low,err_ci_high,tn,fp,fn,tp,fpr,fnr,precision,recall,f1,accuracy,roc_auc,suppressed
100_400,0,temperate,291080,52951,0.18191218908891027,0.18051495549697244,0.18331781834596544,238129,52951,0,0,0.18191218908891027,,0.0,0.0,0.0,0.8180878109110897,,False
100_400,1,virulent,1100668,197382,0.17932928003721377,0.1786137118192576,0.18004708660327576,0,0,197382,903286,,0.17932928003721377,1.0,0.8206707199627863,0.9015037271314611,0.8206707199627863,,False
400_800,0,temperate,120762,18779,0.15550421490203872,0.15347130850887056,0.15755903753172493,101983,18779,0,0,0.15550421490203872,,0.0,0.0,0.0,0.8444957850979613,,False
400_800,1,virulent,457798,54509,0.1190677984613301,0.11813282769202903,0.12000916210734407,0,0,54509,403289,,0.1190677984613301,1.0,0.8809322015386699,0.936697453335145,0.8809322015386699,,False
800_1200,0,temperate,81102,10627,0.13103252694138245,0.1287276634190471,0.13337234166645331,70475,10627,0,0,0.13103252694138245,,0.0,0.0,0.0,0.8689674730586175,,False
800_1200,1,virulent,307976,28671,0.09309491648699898,0.0920737820469497,0.09412620165064652,0,0,28671,279305,,0.09309491648699898,1.0,0.906905083513001,0.951180099475379,0.906905083513001,,False
1200_1800,0,temperate,61430,7634,0.12427152856910305,0.12168627311179078,0.12690377263778943,53796,7634,0,0,0.12427152856910305,,0.0,0.0,0.0,0.8757284714308969,,False
1200_1800,1,virulent,233892,17831,0.07623604056573119,0.07516750980777714,0.07731849095380527,0,0,17831,216061,,0.07623604056573119,1.0,0.9237639594342688,0.9603714165701751,0.9237639594342688,,False
