group,n,ece,brier,brier_baseline,brier_skill_score
100_400,1391748,0.13767280563002277,0.14813127699839193,0.16540456626478775,0.1044305466074249
400_800,578560,0.10767425982724468,0.1134268632920672,0.16516095259650987,0.3132343843452492
800_1200,389078,0.09235458747974003,0.09506222997963104,0.1649966355781884,0.4238535249733436
1200_1800,295322,0.08150504631121679,0.08259159164266663,0.1647419798627777,0.49866092594333555
ALL,2654708,0.11782594823098777,0.12549907216512204,0.16521812886775314,0.2404037436740597
