group,optimal_threshold,sensitivity,specificity,youden_j
100_400,0.5794774293899536,0.8084663131843571,0.8305895286519169,0.6390558418362742
400_800,0.7661914229393005,0.863669129179245,0.864882992994485,0.72855212217373
800_1200,0.92372465133667,0.8913259474764267,0.8897931000468546,0.7811190475232812
1200_1800,0.9945395588874816,0.9017580763771313,0.9043301318573986,0.80608820823453
ALL,0.616593062877655,0.84625397674846,0.8501336642771847,0.6963876410256448
