group,threshold,fpr,fnr,f1,balanced_accuracy
100_400,0.3,0.22264669506664833,0.14837898439856523,0.8915156161131581,0.8144871602673932
100_400,0.35,0.21003160643122165,0.1568056852747604,0.8881625317422379,0.8165813541470089
100_400,0.4,0.19973890339425587,0.16439925572470537,0.884971905585061,0.8179309204405194
100_400,0.45,0.19027758691768587,0.17185381968041225,0.8817257763710794,0.818934296700951
100_400,0.5,0.18191218908891027,0.17932928003721377,0.8782962752290456,0.8193792654369381
100_400,0.55,0.17413082314140443,0.1869909909255107,0.8746456248072654,0.8194390929665425
100_400,0.6,0.16618111859282672,0.19493344041981778,0.8708061465709424,0.8194427204936778
100_400,0.65,0.1579119142503779,0.20406698477651752,0.8662301854311905,0.8190105504865524
100_400,0.7,0.14939191974714855,0.21491675964050921,0.860558022854508,0.817845660306171
400_800,0.3,0.17148606349679535,0.10797338564170224,0.9209144467935165,0.8602702754307512
400_800,0.35,0.16672463192063727,0.11104679356397364,0.9197970828111421,0.8611142872576946
400_800,0.4,0.16303141716765207,0.11391050201180433,0.9186580549315168,0.8615290404102718
400_800,0.45,0.1590814991470827,0.1165426672899401,0.9176769292555256,0.8621879167814885
400_800,0.5,0.15550421490203872,0.1190677984613301,0.9167054983372468,0.8627139933183157
400_800,0.55,0.1518855269041586,0.12175238860807605,0.91564563880665,0.8631810422438827
400_800,0.6,0.14853182292442987,0.12458114714349997,0.914466628636623,0.8634435149660351
400_800,0.65,0.14474751991520513,0.1276567394352968,0.9131969335780068,0.8637978703247491
400_800,0.7,0.1408721286497408,0.1310971214378394,0.9117250673854448,0.8640153749562098
800_1200,0.3,0.13933071934107666,0.08867249396056835,0.9356455529942012,0.8859983933491775
800_1200,0.35,0.13708663164903456,0.08981868717042886,0.9353028321276994,0.8865473405902683
800_1200,0.4,0.13510147715222806,0.09090968127386549,0.9349569468585482,0.8869944207869532
800_1200,0.45,0.13290671006880225,0.09201691040860327,0.934628136739796,0.8875381897612973
800_1200,0.5,0.13103252694138245,0.09309491648699898,0.9342741692701887,0.8879362782858093
800_1200,0.55,0.12909669305319227,0.09418591059043561,0.9339203066545031,0.8883586981781861
800_1200,0.6,0.12745678281669995,0.09536132685663817,0.9334818736179052,0.8885909451633309
800_1200,0.65,0.12568124090651278,0.09659194222926462,0.9330295088674155,0.8888634084321113
800_1200,0.7,0.1236344356489359,0.09799140192742292,0.9325176233635448,0.8891870812118206
1200_1800,0.3,0.12879700472082045,0.07349118396524892,0.9452549252246967,0.8988559056569654
1200_1800,0.35,0.12760866026371478,0.07418381133172576,0.9450326443684101,0.8991037642022797
1200_1800,0.4,0.12630636496825656,0.07489354060848596,0.9448153598267347,0.8994000472116288
1200_1800,0.45,0.1253459221878561,0.07558189249739196,0.9445660388898355,0.8995360926573759
1200_1800,0.5,0.12427152856910305,0.07623604056573119,0.9443493805549545,0.8997462154325828
1200_1800,0.55,0.12329480709750935,0.07694576984249141,0.9440901169972954,0.8998797115299997
1200_1800,0.6,0.12209018394921048,0.0776255707762557,0.9438756759594686,0.9001421226372669
1200_1800,0.65,0.12096695425687774,0.07841225864929112,0.9435928864569083,0.9003103935469156
1200_1800,0.7,0.11974605241738565,0.07934431275973526,0.9432434918590746,0.9004548174114395
ALL,0.3,0.18891398225746517,0.12247766307644403,0.9105831721281286,0.8443041773330454
ALL,0.35,0.18079311078802396,0.1278087199464466,0.9085747785343614,0.8456990846327648
ALL,0.4,0.17414958132957173,0.1326512830816432,0.9066451002836808,0.8465995677943925
ALL,0.45,0.1678938766969591,0.1373705324962601,0.9047243347431602,0.8473677954033905
ALL,0.5,0.16232904140526072,0.1420693089765723,0.9027159011949605,0.8478008248090835
ALL,0.55,0.15706364295583847,0.14690853930850997,0.9005753191044493,0.8480139088678258
ALL,0.6,0.15178561765162146,0.1519353588524492,0.8983127564648754,0.8481395117479646
ALL,0.65,0.1462352130511171,0.15766016262175445,0.8956593406871567,0.8480523121635642
ALL,0.7,0.1404827787738963,0.16440480418828624,0.8924081222543331,0.8475562085189087
