group,gc_bin,true_label,true_class,n,n_errors,error_rate,err_ci_low,err_ci_high,tn,fp,fn,tp,fpr,fnr,precision,recall,f1,accuracy,roc_auc,suppressed
400_800,35-45,0,temperate,34324,6316,0.18401118750728354,0.17994729058106207,0.18814580592133567,28008,6316,0,0,0.18401118750728354,,0.0,0.0,0.0,0.8159888124927165,,False
400_800,35-45,1,virulent,213038,17142,0.08046451806719927,0.07931700466526584,0.08162716115695956,0,0,17142,195896,,0.08046451806719927,1.0,0.9195354819328008,0.9580812551658703,0.9195354819328008,,False
400_800,45-55,0,temperate,22686,3251,0.14330424050074936,0.1388051714650157,0.14792408887944308,19435,3251,0,0,0.14330424050074936,,0.0,0.0,0.0,0.8566957594992506,,False
400_800,45-55,1,virulent,111494,8694,0.07797729025777173,0.07641788993587542,0.07956577065583204,0,0,8694,102800,,0.07797729025777173,1.0,0.9220227097422283,0.9594295687233427,0.9220227097422283,,False
400_800,>55,0,temperate,35616,5165,0.14501909254267745,0.1414004453909823,0.14871430626414284,30451,5165,0,0,0.14501909254267745,,0.0,0.0,0.0,0.8549809074573226,,False
400_800,>55,1,virulent,56808,15119,0.2661420926630052,0.2625238166284577,0.2697919943410052,0,0,15119,41689,,0.2661420926630052,1.0,0.7338579073369947,0.8465029391758124,0.7338579073369947,,False
800_1200,<35,0,temperate,18938,2511,0.13259055866511776,0.12783496004789016,0.1374951806222662,16427,2511,0,0,0.13259055866511776,,0.0,0.0,0.0,0.8674094413348823,,False
800_1200,<35,1,virulent,49394,6491,0.1314127221929789,0.12846191136822602,0.13442085992950417,0,0,6491,42903,,0.1314127221929789,1.0,0.868587277807021,0.9296726870862542,0.868587277807021,,False
800_1200,35-45,0,temperate,23046,4033,0.1749978304261043,0.17014648142622205,0.17995750836640764,19013,4033,0,0,0.1749978304261043,,0.0,0.0,0.0,0.8250021695738957,,False
800_1200,35-45,1,virulent,146716,7744,0.052782245971809486,0.0516497727649124,0.05393813753261018,0,0,7744,138972,,0.052782245971809486,1.0,0.9472177540281905,0.9728935062025706,0.9472177540281905,,False
800_1200,45-55,0,temperate,15248,1531,0.10040661070304302,0.09573649213230229,0.1052780192693755,13717,1531,0,0,0.10040661070304302,,0.0,0.0,0.0,0.899593389296957,,False
800_1200,45-55,1,virulent,74214,4856,0.06543239819980058,0.06367566794669914,0.06723411422759741,0,0,4856,69358,,0.06543239819980058,1.0,0.9345676018001994,0.966177249045775,0.9345676018001994,,False
