group,n,n_errors,n_confident_wrong,frac_confwrong_of_errors,frac_confwrong_of_all,mean_conf_when_wrong,mean_conf_when_correct
100_400,1391748,250333,162002,0.6471460015259675,0.11640181986968905,0.8658545188070682,0.9503166594655933
400_800,578560,73288,59386,0.8103100098242549,0.10264449668141593,0.9247054478517331,0.9841035830527065
800_1200,389078,39298,35340,0.8992824062293246,0.09083011632628933,0.9583715454659284,0.9937187957439219
1200_1800,295322,25465,23634,0.9280973885725505,0.08002790174792261,0.9703085739346213,0.996743185246941
ALL,2654708,388384,280362,0.7218680481173272,0.10560935515318445,0.8931695562836081,0.9700761063275243
