Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	0.842	0.7908	0.8312
2	0.8247	0.7916	0.818
3	0.8246	0.8505	0.83
4	0.8419	0.7229	0.8179
5	0.848	0.7676	0.8303
Avg	83.62%	78.47%	82.55%
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	0.8929	0.8168	0.8769
2	0.8841	0.8561	0.8784
3	0.9054	0.8463	0.8929
4	0.8766	0.8145	0.8641
5	0.918	0.7695	0.8853
Avg	89.54%	82.06%	87.95%
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	0.8994	0.893	0.898
2	0.8979	0.9035	0.899
3	0.9273	0.8769	0.9167
4	0.8953	0.8671	0.8897
5	0.9277	0.8329	0.9069
Avg	90.95%	87.47%	90.21%
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	0.9079	0.9094	0.9082
2	0.9012	0.9169	0.9044
3	0.9257	0.9175	0.924
4	0.9074	0.8748	0.9009
5	0.936	0.8413	0.9152
Avg	91.56%	89.20%	91.05%
