Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	0.8498	0.7641	0.8318
2	0.7948	0.858	0.8076
3	0.8629	0.7801	0.8455
4	0.8413	0.7777	0.8285
5	0.8604	0.7528	0.8367
Avg	0.8418	0.7865	0.83
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	0.8701	0.8693	0.8699
2	0.8771	0.8573	0.8731
3	0.9007	0.841	0.8882
4	0.8611	0.8499	0.8588
5	0.9217	0.7576	0.8856
Avg	0.8861	0.835	0.8751
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	0.9092	0.8736	0.9017
2	0.9295	0.8283	0.9091
3	0.9207	0.9028	0.917
4	0.8964	0.8465	0.8864
5	0.9342	0.8252	0.9102
Avg	0.918	0.8553	0.9049
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	0.926	0.8588	0.9119
2	0.8985	0.9141	0.9016
3	0.9249	0.9174	0.9233
4	0.9028	0.8822	0.8987
5	0.9589	0.7734	0.9182
Avg	0.9222	0.8692	0.9107
